event_id,ts,alarm
EVT0001,2026-01-06 02:09:10+00:00,SHEET_BREAK
EVT0001,2026-01-06 02:10:20+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:10:45+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:11:10+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:11:35+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:12:00+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:12:25+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:12:50+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:13:15+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:13:40+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:14:05+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:14:30+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:14:55+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:15:20+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:15:45+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:16:10+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:16:35+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:17:00+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:17:25+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:17:50+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:18:15+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:18:40+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:19:05+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:19:30+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:19:55+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:20:20+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:20:45+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:21:10+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0001,2026-01-06 02:21:35+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0002,2026-01-06 13:03:00+00:00,STEAM_HEADER_SATURATED
EVT0002,2026-01-06 13:06:20+00:00,BASIS_WEIGHT_OFF_SPEC
EVT0002,2026-01-06 13:06:45+00:00,BASIS_WEIGHT_OFF_SPEC
