ts,machine_id,operator_id,tag,old_value,new_value,action_type,free_text
2026-01-05 12:01:25+00:00,PM1,OP01,MACHINE_SPEED_SP,900.0,905.85,SETPOINT_NUDGE,
2026-01-05 12:04:10+00:00,PM1,OP05,STOCK_FLOW_SP,99.76,101.37,SETPOINT_NUDGE,
2026-01-05 12:15:50+00:00,PM1,OP04,MACHINE_SPEED_SP,900.0,904.95,SETPOINT_NUDGE,
2026-01-05 12:18:55+00:00,PM1,OP02,MACHINE_SPEED_SP,900.0,904.01,SETPOINT_NUDGE,
2026-01-05 12:21:50+00:00,PM1,OP05,STOCK_FLOW_SP,95.68,95.3,SETPOINT_NUDGE,
2026-01-06 02:00:25+00:00,PM1,OP03,STOCK_FLOW_SP,107.83,104.61,SETPOINT_NUDGE,
2026-01-06 02:04:10+00:00,PM1,OP03,MACHINE_SPEED_SP,900.0,923.16,SETPOINT_NUDGE,
2026-01-06 02:05:40+00:00,PM1,OP02,STOCK_FLOW_SP,109.41,108.48,SETPOINT_NUDGE,
2026-01-06 02:08:35+00:00,PM1,OP03,STOCK_FLOW_SP,112.58,113.29,SETPOINT_NUDGE,
2026-01-06 02:10:05+00:00,PM1,OP02,MACHINE_SPEED_SP,900.0,,SETPOINT_NUDGE,
2026-01-06 02:11:35+00:00,PM1,OP02,STOCK_FLOW_SP,113.9,110.93,SETPOINT_NUDGE,
2026-01-06 02:13:05+00:00,PM1,OP05,STOCK_FLOW_SP,113.9,111.22,SETPOINT_NUDGE,
2026-01-06 02:14:50+00:00,PM1,OP04,STOCK_FLOW_SP,113.9,110.64,SETPOINT_NUDGE,
2026-01-06 02:16:20+00:00,PM1,OP01,MACHINE_SPEED_SP,900.0,926.05,SETPOINT_NUDGE,
2026-01-06 02:17:50+00:00,PM1,OP04,STOCK_FLOW_SP,113.9,111.18,SETPOINT_NUDGE,
2026-01-06 02:19:25+00:00,PM1,OP02,STOCK_FLOW_SP,113.9,111.1,SETPOINT_NUDGE,
2026-01-06 02:20:50+00:00,PM1,OP04,STOCK_FLOW_SP,113.9,110.86,SETPOINT_NUDGE,
2026-01-06 13:00:20+00:00,PM1,OP05,STOCK_FLOW_SP,95.68,97.0,SETPOINT_NUDGE,
2026-01-06 13:04:50+00:00,PM1,OP02,MACHINE_SPEED_SP,900.0,914.48,SETPOINT_NUDGE,
2026-01-06 13:06:50+00:00,PM1,OP02,MACHINE_SPEED_SP,900.0,869.15,SETPOINT_NUDGE,
2026-01-06 13:08:35+00:00,PM1,OP03,STOCK_FLOW_SP,109.92,113.55,SETPOINT_NUDGE,
2026-01-06 13:10:00+00:00,PM1,OP01,STOCK_FLOW_SP,113.12,115.94,SETPOINT_NUDGE,
2026-01-06 13:11:45+00:00,PM1,OP03,STOCK_FLOW_SP,113.9,115.13,SETPOINT_NUDGE,
2026-01-06 15:02:35+00:00,PM1,OP02,MACHINE_SPEED_SP,900.0,887.78,SETPOINT_NUDGE,
2026-01-06 15:04:10+00:00,PM1,OP02,STOCK_FLOW_SP,107.38,109.3,SETPOINT_NUDGE,
2026-01-06 15:05:45+00:00,PM1,OP01,STOCK_FLOW_SP,105.7,106.23,SETPOINT_NUDGE,
2026-01-06 15:09:50+00:00,PM1,OP02,MACHINE_SPEED_SP,900.0,904.46,SETPOINT_NUDGE,
2026-01-06 15:11:25+00:00,PM1,OP01,MACHINE_SPEED_SP,900.0,894.14,SETPOINT_NUDGE,
2026-01-06 15:21:55+00:00,PM1,OP05,STOCK_FLOW_SP,100.01,99.43,SETPOINT_NUDGE,
2026-01-06 23:00:45+00:00,PM1,OP02,STOCK_FLOW_SP,95.68,94.85,SETPOINT_NUDGE,
2026-01-06 23:05:00+00:00,PM1,OP04,STOCK_FLOW_SP,98.53,100.73,SETPOINT_NUDGE,
2026-01-06 23:06:55+00:00,PM1,OP02,STOCK_FLOW_SP,104.51,106.55,SETPOINT_NUDGE,
2026-01-06 23:08:20+00:00,PM1,OP05,STOCK_FLOW_SP,109.18,113.12,SETPOINT_NUDGE,
2026-01-06 23:10:25+00:00,PM1,OP03,MACHINE_SPEED_SP,900.0,866.78,SETPOINT_NUDGE,
2026-01-06 23:11:50+00:00,PM1,OP04,MACHINE_SPEED_SP,900.0,875.15,SETPOINT_NUDGE,
2026-01-07 22:00:20+00:00,PM1,OP02,STOCK_FLOW_SP,95.68,96.45,SETPOINT_NUDGE,
2026-01-07 22:03:50+00:00,PM1,OP02,STOCK_FLOW_SP,96.05,92.89,SETPOINT_NUDGE,
2026-01-07 22:05:15+00:00,PM1,OP02,STOCK_FLOW_SP,98.02,95.67,SETPOINT_NUDGE,
2026-01-07 22:08:05+00:00,PM1,OP02,STOCK_FLOW_SP,104.17,105.84,SETPOINT_NUDGE,
2026-01-07 22:09:35+00:00,PM1,OP02,STOCK_FLOW_SP,106.83,108.21,SETPOINT_NUDGE,
2026-01-07 22:11:05+00:00,PM1,OP02,STOCK_FLOW_SP,107.83,108.64,SETPOINT_NUDGE,
2026-01-07 22:04:55+00:00,PM1,OP05,MACHINE_SPEED_SP,900.0,891.48,SETPOINT_NUDGE,
2026-01-07 22:07:40+00:00,PM1,OP02,STOCK_FLOW_SP,100.25,97.95,SETPOINT_NUDGE,
2026-01-07 22:10:00+00:00,PM1,OP01,STOCK_FLOW_SP,96.2,92.27,SETPOINT_NUDGE,
2026-01-08 04:04:15+00:00,PM1,OP05,MACHINE_SPEED_SP,900.0,924.65,SETPOINT_NUDGE,
2026-01-08 04:06:35+00:00,PM1,OP04,STOCK_FLOW_SP,103.32,104.54,SETPOINT_NUDGE,
2026-01-08 04:08:15+00:00,PM1,OP01,STOCK_FLOW_SP,105.7,108.52,SETPOINT_NUDGE,
2026-01-08 04:09:50+00:00,PM1,OP05,STOCK_FLOW_SP,107.38,110.69,SETPOINT_NUDGE,
2026-01-08 04:11:25+00:00,PM1,OP01,STOCK_FLOW_SP,107.83,110.41,SETPOINT_NUDGE,
2026-01-08 04:13:00+00:00,PM1,OP01,STOCK_FLOW_SP,107.83,111.35,SETPOINT_NUDGE,
2026-01-08 04:14:30+00:00,PM1,OP01,STOCK_FLOW_SP,107.83,110.38,SETPOINT_NUDGE,
